2018-02-27 16:56:10.683 [http-nio-8002-exec-5] ERROR com.fengmangbilu.web.DefaultExceptionHandler - Request method 'GET' not supported
2018-02-27 16:59:26.311 [http-nio-8002-exec-2] ERROR com.fengmangbilu.web.DefaultExceptionHandler - Response(code=405, data=null, message=Request method 'GET' not supported, success=false)
2018-02-27 16:59:47.387 [http-nio-8002-exec-3] ERROR com.fengmangbilu.web.DefaultExceptionHandler - Response(code=400, data=null, message=Required String parameter 'buyerId' is not present, success=false)
2018-02-27 17:02:35.188 [http-nio-8002-exec-2] ERROR com.fengmangbilu.web.DefaultExceptionHandler - Response(code=500, data=null, message=null, success=false)
2018-02-27 17:03:32.072 [http-nio-8002-exec-3] ERROR com.fengmangbilu.web.DefaultExceptionHandler - Response(code=500, data=null, message=null, success=false)
2018-02-27 17:03:52.718 [http-nio-8002-exec-1] ERROR com.fengmangbilu.web.DefaultExceptionHandler - Response(code=500, data=null, message=null, success=false)
2018-02-27 17:05:20.879 [http-nio-8002-exec-4] ERROR com.fengmangbilu.web.DefaultExceptionHandler - Response(code=500, data=null, message=null, success=false)
2018-02-27 17:11:25.759 [http-nio-8002-exec-8] ERROR com.fengmangbilu.web.DefaultExceptionHandler - Response(code=500, data=null, message=null, success=false)
2018-02-27 17:12:10.098 [http-nio-8002-exec-1] ERROR com.fengmangbilu.web.DefaultExceptionHandler - Written [class java.lang.NullPointerException]Response(code=500, data=null, message=null, success=false)
2018-02-27 17:13:20.644 [http-nio-8002-exec-2] ERROR com.fengmangbilu.web.DefaultExceptionHandler - Written [java.lang.NullPointerException]Response(code=500, data=null, message=null, success=false)
2018-02-27 17:14:01.271 [http-nio-8002-exec-3] ERROR com.fengmangbilu.web.DefaultExceptionHandler - [java.lang.NullPointerException]Response(code=500, data=null, message=null, success=false)
2018-02-27 17:14:36.255 [http-nio-8002-exec-4] ERROR com.fengmangbilu.web.DefaultExceptionHandler - java.lang.NullPointerExceptionResponse(code=500, data=null, message=null, success=false)
2018-02-27 17:14:57.399 [http-nio-8002-exec-5] ERROR com.fengmangbilu.web.DefaultExceptionHandler - java.lang.NullPointerException:Response(code=500, data=null, message=null, success=false)
2018-02-27 17:16:40.812 [http-nio-8002-exec-6] ERROR com.fengmangbilu.web.DefaultExceptionHandler - java.lang.NullPointerException:Response(code=500, data=null, message=服务器错误, success=false)
2018-02-27 17:17:04.869 [http-nio-8002-exec-7] ERROR com.fengmangbilu.web.DefaultExceptionHandler - java.lang.NullPointerException:Response(code=500, data=null, message=server error, success=false)
2018-02-27 17:17:27.819 [http-nio-8002-exec-8] ERROR com.fengmangbilu.web.DefaultExceptionHandler - java.lang.NullPointerException:Response(code=500, data=null, message=no message, success=false)
2018-02-27 17:18:13.213 [http-nio-8002-exec-10] ERROR com.fengmangbilu.web.DefaultExceptionHandler - java.lang.NullPointerException:Response(code=500, data=null, message=Internal Server Error, success=false)
